MONTH,ZHVI,DAMAGE_PROPERTY,EVENT_COUNT
2000-01,110404.23018583916,0.0,76.0
2000-02,110464.2266963663,20889000.0,177.0
2000-03,110493.32594389793,14542700.0,731.0
2000-04,110637.74808980995,17291500.0,616.0
2000-05,110731.27813634987,54610700.0,635.0
2000-06,110836.14808748745,12564000.0,341.0
2000-07,110905.06387118762,1749000.0,226.0
2000-08,111108.9438393932,1920000.0,327.0
2000-09,111376.3023123895,2694000.0,322.0
2000-10,111662.78205547774,3487500.0,241.0
2000-11,111993.36219406244,9306000.0,302.0
2000-12,112360.5573931635,156915000.0,294.0
2001-01,112579.78959423587,391000.0,149.0
2001-02,112546.6633866306,2963000.0,234.0
2001-03,112327.28998538821,4376000.0,194.0
2001-04,112198.76535769265,55248000.0,425.0
2001-05,112241.91841185633,237984800.0,860.0
2001-06,112372.76807294431,5162190500.0,360.0
2001-07,112526.47665162392,500000.0,74.0
2001-08,112664.54221847553,6025000.0,274.0
2001-09,112809.7490821152,2429500.0,293.0
2001-10,112961.63228752794,32382000.0,249.0
2001-11,113072.60385351886,4406000.0,297.0
2001-12,113162.2559297064,3042000.0,79.0
2002-01,113192.8458962383,15000.0,60.0
2002-02,113277.64743907521,51000.0,52.0
2002-03,113490.14807069984,36234000.0,319.0
2002-04,113863.8408265331,7344000.0,472.0
2002-05,114304.09478945851,43074500.0,798.0
2002-06,114797.3395836497,7114020.0,476.0
2002-07,115298.71756662011,63368000.0,332.0
2002-08,115828.55096344707,3373000.0,279.0
2002-09,116295.51678597317,8154000.0,187.0
2002-10,116696.24756546489,108691010.0,290.0
2002-11,117037.32360642777,2090000.0,64.0
2002-12,117327.93157746759,2880000.0,271.0
2003-01,117550.76302052445,0.0,26.0
2003-02,117697.83617480805,15683000.0,163.0
2003-03,117864.0811958238,856000.0,114.0
2003-04,118059.08809650566,87027500.0,560.0
2003-05,118280.3305044488,4959450.0,553.0
2003-06,118503.28925555112,77109450.0,899.0
2003-07,118723.1442060828,15518300.0,148.0
