,STATE,MONTH,ZHVI
0,California,2000-01,190252.3290963135
1,California,2000-02,190891.8239611473
2,California,2000-03,191755.29862276258
3,California,2000-04,193629.64465037093
4,California,2000-05,195808.28955393317
5,California,2000-06,198159.04107605806
6,California,2000-07,200641.602589204
7,California,2000-08,203233.52790202867
8,California,2000-09,205831.46810751516
9,California,2000-10,208295.15833844393
10,California,2000-11,210721.42607288875
11,California,2000-12,213096.00265018482
12,California,2001-01,215104.77757342125
13,California,2001-02,217091.04319547137
14,California,2001-03,219326.74896822148
15,California,2001-04,222106.54570630044
16,California,2001-05,224892.0975167197
17,California,2001-06,227422.54089250742
18,California,2001-07,229791.60721186709
19,California,2001-08,232074.23801803286
20,California,2001-09,234289.74507159265
21,California,2001-10,236361.29185829413
22,California,2001-11,238307.37999160323
23,California,2001-12,240127.22383757538
24,California,2002-01,241597.5861872904
25,California,2002-02,243100.84719083572
26,California,2002-03,244860.37627517933
27,California,2002-04,247234.59913748913
28,California,2002-05,250006.7814528766
29,California,2002-06,253082.532425857
30,California,2002-07,256640.8302598839
31,California,2002-08,260471.23448409452
32,California,2002-09,264341.0676948992
33,California,2002-10,268013.43928480713
34,California,2002-11,271611.3731950158
35,California,2002-12,275159.291637761
36,California,2003-01,278294.2797575675
37,California,2003-02,281217.0677432747
38,California,2003-03,284313.04544689815
39,California,2003-04,287911.68809978274
40,California,2003-05,291908.2225867997
41,California,2003-06,295604.89279548614
42,California,2003-07,299507.6782002261
43,California,2003-08,303618.1418191979
44,California,2003-09,308184.3593843634
45,California,2003-10,312632.1840926244
46,California,2003-11,316918.0211154565
47,California,2003-12,321062.45532457234
48,California,2004-01,325352.9462414021
49,California,2004-02,330185.2958647069
50,California,2004-03,335697.1299554038
51,California,2004-04,342024.5872939686
52,California,2004-05,349310.12306698103
53,California,2004-06,357440.88649140834
54,California,2004-07,365753.523638893
55,California,2004-08,373686.707378316
56,California,2004-09,381199.71156770224
57,California,2004-10,388415.3458284584
58,California,2004-11,394759.12375615345
59,California,2004-12,400888.104751074
60,California,2005-01,406342.52089158056
61,California,2005-02,412254.2701438763
62,California,2005-03,418468.47243318445
63,California,2005-04,425475.5319813885
64,California,2005-05,432291.46917497827
65,California,2005-06,438594.2975771793
66,California,2005-07,444624.59400034003
67,California,2005-08,450741.5546924675
68,California,2005-09,456886.5932106118
69,California,2005-10,462918.30730132636
70,California,2005-11,467811.3750890973
71,California,2005-12,472142.64331378223
72,California,2006-01,475751.32677041
73,California,2006-02,478960.91070782184
74,California,2006-03,482018.0703716209
75,California,2006-04,484762.92434524256
76,California,2006-05,487490.46686087066
77,California,2006-06,489376.9845783489
78,California,2006-07,490077.50098332827
79,California,2006-08,490083.6907259973
80,California,2006-09,489033.47536985506
81,California,2006-10,487836.6654546732
82,California,2006-11,486560.56112553854
83,California,2006-12,485453.400368442
84,California,2007-01,484539.5811505997
85,California,2007-02,483467.59010050184
86,California,2007-03,481933.9577254749
87,California,2007-04,479967.9088944365
88,California,2007-05,476901.26926623454
89,California,2007-06,473369.6060839719
90,California,2007-07,468849.70404228725
91,California,2007-08,464136.4834003539
92,California,2007-09,458839.5338464847
93,California,2007-10,453280.8365135498
94,California,2007-11,447693.1411289998
95,California,2007-12,441703.24632714386
96,California,2008-01,435738.6886021113
97,California,2008-02,428698.65762270725
98,California,2008-03,420288.90517868596
99,California,2008-04,410430.9505492822
100,California,2008-05,399937.7687980349
101,California,2008-06,389747.66426876374
102,California,2008-07,379427.2029430614
103,California,2008-08,369491.5690251526
104,California,2008-09,360312.25336108514
105,California,2008-10,352374.45409161
106,California,2008-11,344678.9614103219
107,California,2008-12,337295.35477158736
108,California,2009-01,330393.32097111846
109,California,2009-02,325367.0102692836
110,California,2009-03,321203.9930193903
111,California,2009-04,317292.16828093195
112,California,2009-05,313501.48056156695
113,California,2009-06,310188.676729886
114,California,2009-07,307731.90718693665
115,California,2009-08,305678.5730361315
116,California,2009-09,304070.2121827944
117,California,2009-10,303212.8423293534
118,California,2009-11,304057.49393141194
119,California,2009-12,305990.79592198133
120,California,2010-01,307954.35628744605
121,California,2010-02,308774.67095028755
122,California,2010-03,309822.76932765055
123,California,2010-04,311128.19139199506
124,California,2010-05,312565.5348686543
125,California,2010-06,312499.69431797945
126,California,2010-07,311346.89537446597
127,California,2010-08,309377.74509084394
128,California,2010-09,307368.5924095491
129,California,2010-10,305213.0416433387
130,California,2010-11,303303.6981586256
131,California,2010-12,301943.74685931666
132,California,2011-01,300884.7853095206
133,California,2011-02,299870.24671236944
134,California,2011-03,298375.6905346797
135,California,2011-04,296784.88581898966
136,California,2011-05,294394.87421022676
137,California,2011-06,292471.27349959716
138,California,2011-07,290796.2219538628
139,California,2011-08,288969.16559801286
140,California,2011-09,286788.22479560034
141,California,2011-10,284459.7187299659
142,California,2011-11,283309.96421822684
143,California,2011-12,282560.6238347722
144,California,2012-01,282174.3511156764
145,California,2012-02,281612.9780254913
146,California,2012-03,280982.0388714781
147,California,2012-04,280551.191865446
148,California,2012-05,280747.24015476805
149,California,2012-06,281856.815128624
150,California,2012-07,283465.8996054816
151,California,2012-08,286010.19659403333
152,California,2012-09,289446.2291812998
153,California,2012-10,293831.1375789516
154,California,2012-11,298632.5860334754
155,California,2012-12,303742.95188927377
156,California,2013-01,308583.7555332129
157,California,2013-02,312867.652875028
158,California,2013-03,316547.5475576517
159,California,2013-04,320879.43366867054
160,California,2013-05,326796.8522351225
161,California,2013-06,333957.44906185166
162,California,2013-07,341130.41363769537
163,California,2013-08,347991.18443284597
164,California,2013-09,354714.666290455
165,California,2013-10,361355.1408661756
166,California,2013-11,366925.2041867438
167,California,2013-12,371411.984542399
168,California,2014-01,374659.42162544536
169,California,2014-02,377344.25111482176
170,California,2014-03,379785.95132441144
171,California,2014-04,382763.747172036
172,California,2014-05,385941.36472646636
173,California,2014-06,388558.18557517393
174,California,2014-07,390278.7914374915
175,California,2014-08,391787.33424672607
176,California,2014-09,394277.87664265675
177,California,2014-10,397437.20673678815
178,California,2014-11,400977.81498161977
179,California,2014-12,404246.9616989439
180,California,2015-01,407153.4827426852
181,California,2015-02,409610.04940161365
182,California,2015-03,411620.7158224304
183,California,2015-04,413566.8089205231
184,California,2015-05,415767.2629840982
185,California,2015-06,418022.27159928856
186,California,2015-07,419799.2104884141
187,California,2015-08,420990.08553271083
188,California,2015-09,422008.6877257098
189,California,2015-10,423264.29315954074
190,California,2015-11,424312.2352955162
191,California,2015-12,425268.07763678656
192,California,2016-01,428434.7535258599
193,California,2016-02,433761.9957831674
194,California,2016-03,439813.45714041404
195,California,2016-04,444385.77165933093
196,California,2016-05,447418.78250987735
197,California,2016-06,450098.9760347923
198,California,2016-07,451079.22390552046
